,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
345,2019-05-01,01,Svenskegrensen til Jæren,LAKS,green,2734094,4385967
346,2019-05-01,02,Ryfylket,LAKS,yellow,21558319,31313477
347,2019-05-01,03,Karmøy til Sotra,LAKS,red,49431630,86989741
349,2019-05-01,04,Nordhordland til Stadt,LAKS,red,40100592,55701859
351,2019-05-01,05,Stadt til Hustadvika,LAKS,yellow,20304476,48249481
353,2019-05-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,58902533,104796093
355,2019-05-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,33995641,64975266
356,2019-05-01,08,Helgeland til Bodø,LAKS,green,45229832,72366259
357,2019-05-01,09,Vestfjorden og Vesterålen,LAKS,green,31608029,58970831
359,2019-05-01,10,Andøya til Senja,LAKS,green,31266345,49153049
361,2019-05-01,11,Kvaløy til Loppa,LAKS,green,22480728,33987282
362,2019-05-01,12,Vest-Finnmark,LAKS,green,42328356,67785393
363,2019-05-01,13,Øst-Finnmark,LAKS,green,3044109,2432830
364,2019-06-01,01,Svenskegrensen til Jæren,LAKS,green,2352825,2834365
365,2019-06-01,02,Ryfylket,LAKS,yellow,19963692,30254165
366,2019-06-01,03,Karmøy til Sotra,LAKS,red,47533556,88045083
368,2019-06-01,04,Nordhordland til Stadt,LAKS,red,39585660,58058353
370,2019-06-01,05,Stadt til Hustadvika,LAKS,yellow,22466070,50784747
372,2019-06-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,61523010,104254247
374,2019-06-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31759858,64158659
375,2019-06-01,08,Helgeland til Bodø,LAKS,green,44436119,73421344
376,2019-06-01,09,Vestfjorden og Vesterålen,LAKS,green,33032055,61458171
378,2019-06-01,10,Andøya til Senja,LAKS,green,34074505,51600583
380,2019-06-01,11,Kvaløy til Loppa,LAKS,green,22574234,34768687
381,2019-06-01,12,Vest-Finnmark,LAKS,green,43125376,69349074
382,2019-06-01,13,Øst-Finnmark,LAKS,green,3708147,2706343
383,2019-07-01,01,Svenskegrensen til Jæren,LAKS,green,2738043,3892373
384,2019-07-01,02,Ryfylket,LAKS,yellow,20319343,37226404
385,2019-07-01,03,Karmøy til Sotra,LAKS,red,45045500,79426677
387,2019-07-01,04,Nordhordland til Stadt,LAKS,red,37749003,64024146
389,2019-07-01,05,Stadt til Hustadvika,LAKS,yellow,21120729,52385203
391,2019-07-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,62436252,103684794
393,2019-07-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,33545468,64456744
394,2019-07-01,08,Helgeland til Bodø,LAKS,green,41450087,76755264
395,2019-07-01,09,Vestfjorden og Vesterålen,LAKS,green,32885321,62219285
397,2019-07-01,10,Andøya til Senja,LAKS,green,33755490,58627628
399,2019-07-01,11,Kvaløy til Loppa,LAKS,green,21772361,38909982
400,2019-07-01,12,Vest-Finnmark,LAKS,green,44309918,73010590
401,2019-07-01,13,Øst-Finnmark,LAKS,green,4208172,3615425
402,2019-08-01,01,Svenskegrensen til Jæren,LAKS,green,4045142,5158223
403,2019-08-01,02,Ryfylket,LAKS,yellow,23778297,44846775
404,2019-08-01,03,Karmøy til Sotra,LAKS,red,44710740,78332941
406,2019-08-01,04,Nordhordland til Stadt,LAKS,red,39234410,74002845
408,2019-08-01,05,Stadt til Hustadvika,LAKS,yellow,19216775,51110697
410,2019-08-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,64265808,107240164
412,2019-08-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,35813368,66663498
413,2019-08-01,08,Helgeland til Bodø,LAKS,green,45497705,84507198
414,2019-08-01,09,Vestfjorden og Vesterålen,LAKS,green,35855928,55898273
416,2019-08-01,10,Andøya til Senja,LAKS,green,37794968,68239105
418,2019-08-01,11,Kvaløy til Loppa,LAKS,green,23028238,38753085
419,2019-08-01,12,Vest-Finnmark,LAKS,green,45651105,79133954
420,2019-08-01,13,Øst-Finnmark,LAKS,green,4296732,4984916
421,2019-09-01,01,Svenskegrensen til Jæren,LAKS,green,4489909,5335331
422,2019-09-01,02,Ryfylket,LAKS,yellow,26610800,52658784
423,2019-09-01,03,Karmøy til Sotra,LAKS,red,46633747,83802786
425,2019-09-01,04,Nordhordland til Stadt,LAKS,red,40964959,82329421
427,2019-09-01,05,Stadt til Hustadvika,LAKS,yellow,15847997,39346814
429,2019-09-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72429579,114793996
431,2019-09-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,33508969,63632647
432,2019-09-01,08,Helgeland til Bodø,LAKS,green,48235240,89142662
433,2019-09-01,09,Vestfjorden og Vesterålen,LAKS,green,34795365,54788015
435,2019-09-01,10,Andøya til Senja,LAKS,green,40748978,73503786
437,2019-09-01,11,Kvaløy til Loppa,LAKS,green,21066906,35830921
438,2019-09-01,12,Vest-Finnmark,LAKS,green,42464957,81085267
439,2019-09-01,13,Øst-Finnmark,LAKS,green,4267257,6468103
440,2019-10-01,01,Svenskegrensen til Jæren,LAKS,green,6427361,6465845
441,2019-10-01,02,Ryfylket,LAKS,yellow,27142347,54344916
442,2019-10-01,03,Karmøy til Sotra,LAKS,red,51060186,91470009
444,2019-10-01,04,Nordhordland til Stadt,LAKS,red,42451853,81335598
446,2019-10-01,05,Stadt til Hustadvika,LAKS,yellow,14520132,28083023
448,2019-10-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72267460,121867743
450,2019-10-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,30155195,58387326
451,2019-10-01,08,Helgeland til Bodø,LAKS,green,49316984,89382538
452,2019-10-01,09,Vestfjorden og Vesterålen,LAKS,green,36880981,53489014
454,2019-10-01,10,Andøya til Senja,LAKS,green,41490221,78757058
456,2019-10-01,11,Kvaløy til Loppa,LAKS,green,21422949,37973460
457,2019-10-01,12,Vest-Finnmark,LAKS,green,42836348,81039385
458,2019-10-01,13,Øst-Finnmark,LAKS,green,4212874,7910427
459,2019-11-01,01,Svenskegrensen til Jæren,LAKS,green,7455172,7627824
460,2019-11-01,02,Ryfylket,LAKS,yellow,25207035,48212608
461,2019-11-01,03,Karmøy til Sotra,LAKS,red,50705731,100173500
463,2019-11-01,04,Nordhordland til Stadt,LAKS,red,40359030,78601501
465,2019-11-01,05,Stadt til Hustadvika,LAKS,yellow,13366661,23766970
467,2019-11-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73010950,133013188
469,2019-11-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,28068309,56199493
470,2019-11-01,08,Helgeland til Bodø,LAKS,green,46243887,88691885
471,2019-11-01,09,Vestfjorden og Vesterålen,LAKS,green,38736274,57723185
473,2019-11-01,10,Andøya til Senja,LAKS,green,40013893,77231823
475,2019-11-01,11,Kvaløy til Loppa,LAKS,green,21966977,38493117
476,2019-11-01,12,Vest-Finnmark,LAKS,green,42080566,76733645
477,2019-11-01,13,Øst-Finnmark,LAKS,green,3804440,6881776
478,2019-12-01,01,Svenskegrensen til Jæren,LAKS,green,7133430,7793459
479,2019-12-01,02,Ryfylket,LAKS,yellow,23517946,44295437
480,2019-12-01,03,Karmøy til Sotra,LAKS,red,46659011,97371730
482,2019-12-01,04,Nordhordland til Stadt,LAKS,red,37030916,74612526
484,2019-12-01,05,Stadt til Hustadvika,LAKS,yellow,12405124,23326404
486,2019-12-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,70172974,141952788
488,2019-12-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,26846926,58141111
489,2019-12-01,08,Helgeland til Bodø,LAKS,green,45902414,89146620
490,2019-12-01,09,Vestfjorden og Vesterålen,LAKS,green,38819092,61417239
492,2019-12-01,10,Andøya til Senja,LAKS,green,38540940,75053916
494,2019-12-01,11,Kvaløy til Loppa,LAKS,green,22798979,38724375
495,2019-12-01,12,Vest-Finnmark,LAKS,green,41369515,74500761
496,2019-12-01,13,Øst-Finnmark,LAKS,green,3471660,5918783
497,2020-01-01,01,Svenskegrensen til Jæren,LAKS,green,6762390,7346614
498,2020-01-01,02,Ryfylket,LAKS,yellow,21248312,40669027
499,2020-01-01,03,Karmøy til Sotra,LAKS,red,43675395,91482748
501,2020-01-01,04,Nordhordland til Stadt,LAKS,red,34604600,70068066
503,2020-01-01,05,Stadt til Hustadvika,LAKS,yellow,11313158,22256850
505,2020-01-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,74346445,146972996
507,2020-01-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,26596091,59380762
508,2020-01-01,08,Helgeland til Bodø,LAKS,green,44331379,90280007
509,2020-01-01,09,Vestfjorden og Vesterålen,LAKS,green,37771274,61878783
511,2020-01-01,10,Andøya til Senja,LAKS,green,36916836,74537179
513,2020-01-01,11,Kvaløy til Loppa,LAKS,green,21843585,36874417
514,2020-01-01,12,Vest-Finnmark,LAKS,green,40114883,71768722
515,2020-01-01,13,Øst-Finnmark,LAKS,green,3042457,4207735
516,2020-02-01,01,Svenskegrensen til Jæren,LAKS,green,6708475,8147200
517,2020-02-01,02,Ryfylket,LAKS,yellow,19842779,38634919
518,2020-02-01,03,Karmøy til Sotra,LAKS,red,40891138,88942198
520,2020-02-01,04,Nordhordland til Stadt,LAKS,red,31685581,63643691
522,2020-02-01,05,Stadt til Hustadvika,LAKS,yellow,10890939,22836371
524,2020-02-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72732873,145376145
526,2020-02-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,24603392,55354604
527,2020-02-01,08,Helgeland til Bodø,LAKS,green,41670608,89844586
528,2020-02-01,09,Vestfjorden og Vesterålen,LAKS,green,36194894,61875344
530,2020-02-01,10,Andøya til Senja,LAKS,green,34816765,70330206
